datetime,temperature,humidite,precipitation,heure,minute,seconde
2022-01-01 00:00:00.000000000,12.6,79.0,2.747,00,00,00
2022-01-01 08:45:08.554277138,10.8,74.5,0.0,08,45,08
2022-01-01 17:30:17.108554277,11.0,71.4,0.0,17,30,17
2022-01-02 02:15:25.662831415,13.0,59.8,0.0,02,15,25
2022-01-02 11:00:34.217108554,13.5,72.0,1.202,11,00,34
2022-01-02 19:45:42.771385692,11.3,75.9,0.121,19,45,42
2022-01-03 04:30:51.325662831,12.8,72.0,0.0,04,30,51
2022-01-03 13:15:59.879939970,14.5,70.5,0.0,13,15,59
2022-01-03 22:01:08.434217108,11.7,82.6,8.563,22,01,08
2022-01-04 06:46:16.988494247,8.8,93.1,32.574,06,46,16
2022-01-04 15:31:25.542771385,13.1,86.8,1.503,15,31,25
2022-01-05 00:16:34.097048524,13.1,85.5,6.805,00,16,34
2022-01-05 09:01:42.651325662,7.3,84.9,22.561,09,01,42
2022-01-05 17:46:51.205602801,5.0,74.7,0.934,17,46,51
2022-01-06 02:31:59.759879940,3.6,75.7,8.22,02,31,59
2022-01-06 11:17:08.314157078,2.6,79.7,8.437,11,17,08
2022-01-06 20:02:16.868434217,0.2,86.4,15.576,20,02,16
2022-01-07 04:47:25.422711355,-1.6,76.4,2.872,04,47,25
2022-01-07 13:32:33.976988494,-1.4,76.5,1.823,13,32,33
2022-01-07 22:17:42.531265632,2.0,71.1,0.0,22,17,42
2022-01-08 07:02:51.085542771,8.5,61.8,0.0,07,02,51
2022-01-08 15:47:59.639819910,11.5,65.6,0.037,15,47,59
2022-01-09 00:33:08.194097048,12.1,66.8,0.0,00,33,08
2022-01-09 09:18:16.748374187,12.1,72.9,2.809,09,18,16
2022-01-09 18:03:25.302651325,12.1,76.1,7.646,18,03,25
2022-01-10 02:48:33.856928464,12.5,78.9,0.868,02,48,33
2022-01-10 11:33:42.411205602,5.5,87.4,23.458,11,33,42
2022-01-10 20:18:50.965482741,2.9,72.6,5.503,20,18,50
2022-01-11 05:03:59.519759880,6.2,65.3,0.0,05,03,59
2022-01-11 13:49:08.074037018,9.0,80.3,12.611,13,49,08
2022-01-11 22:34:16.628314157,10.4,75.1,0.346,22,34,16
2022-01-12 07:19:25.182591295,13.9,60.3,0.0,07,19,25
2022-01-12 16:04:33.736868434,12.9,77.2,4.135,16,04,33
