datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2021-01-01,14.2,10.9,12.6,14.2,10.9,12.6,9.0,79.0,2.747,100.0,8.33,rain,0.0,0.0,25.9,24.1,222.9,1016.1,56.8,11.0,62.1,5.5,3,,2021-01-01T08:29:19,2021-01-01T17:46:34,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-02,15.6,6.2,10.8,15.6,4.8,10.6,6.2,74.5,0.0,0.0,0.0,,0.0,0.0,14.6,11.5,71.1,1022.6,8.9,11.0,102.3,8.8,4,,2021-01-02T08:29:24,2021-01-02T17:47:25,0.61,Clear,Clear conditions throughout the day.,clear-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-03,14.4,6.9,11.0,14.4,6.1,10.9,5.9,71.4,0.0,0.0,0.0,,0.0,0.0,11.2,8.7,67.7,1021.4,46.8,10.9,69.7,5.9,4,,2021-01-03T08:29:27,2021-01-03T17:48:19,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-04,15.8,10.3,13.0,15.8,10.3,13.0,5.2,59.8,0.0,0.0,0.0,,0.0,0.0,16.8,12.6,94.6,1017.0,52.5,11.1,88.0,7.6,4,,2021-01-04T08:29:27,2021-01-04T17:49:13,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-05,15.3,10.8,13.5,15.3,10.8,13.5,8.5,72.0,1.202,100.0,4.17,rain,0.0,0.0,36.6,20.1,219.5,1013.9,45.0,11.1,106.7,9.1,5,,2021-01-05T08:29:26,2021-01-05T17:50:09,0.72,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-06,14.3,7.3,11.3,14.3,7.3,11.2,7.0,75.9,0.121,100.0,4.17,rain,0.0,0.0,17.2,10.4,173.5,1021.3,37.8,11.1,80.2,6.9,4,,2021-01-06T08:29:22,2021-01-06T17:51:07,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,VRKZ7,LTFJ"
2021-01-07,15.3,10.5,12.8,15.3,10.5,12.8,7.9,72.0,0.0,0.0,0.0,,0.0,0.0,52.6,21.4,206.9,1018.2,48.2,11.1,62.1,5.2,3,,2021-01-07T08:29:15,2021-01-07T17:52:06,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-08,17.6,11.8,14.5,17.6,11.8,14.5,9.1,70.5,0.0,0.0,0.0,,0.0,0.0,38.1,28.1,229.3,1014.0,53.4,11.1,96.4,8.4,4,,2021-01-08T08:29:07,2021-01-08T17:53:06,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17022399999,17064099999,17059099999,17060099999,LTFJ"
2021-01-09,15.3,9.0,11.7,15.3,6.0,10.3,8.7,82.6,8.563,100.0,12.5,rain,0.0,0.0,23.5,23.9,356.9,1014.3,80.7,9.7,30.7,2.6,2,,2021-01-09T08:28:56,2021-01-09T17:54:08,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-10,9.8,7.9,8.8,7.8,4.5,6.3,7.7,93.1,32.574,100.0,16.67,rain,0.0,0.0,21.1,22.6,47.4,1018.1,93.8,8.9,17.3,1.3,1,,2021-01-10T08:28:42,2021-01-10T17:55:10,0.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-11,18.6,9.1,13.1,18.6,7.6,12.9,10.8,86.8,1.503,100.0,8.33,rain,0.0,0.0,16.6,16.0,334.4,1014.3,89.2,9.9,52.5,4.4,3,,2021-01-11T08:28:27,2021-01-11T17:56:14,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-12,17.1,9.2,13.1,17.1,6.4,12.8,10.5,85.5,6.805,100.0,12.5,rain,0.0,0.0,48.2,26.1,313.0,1009.8,87.8,8.8,55.4,4.7,3,,2021-01-12T08:28:09,2021-01-12T17:57:19,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-13,11.3,6.0,7.3,11.3,2.4,4.9,4.9,84.9,22.561,100.0,12.5,rain,0.0,0.0,25.9,27.7,357.9,1006.4,89.1,9.8,20.4,1.6,1,,2021-01-13T08:27:49,2021-01-13T17:58:25,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-14,6.0,4.2,5.0,5.4,-0.2,2.4,0.8,74.7,0.934,100.0,12.5,rain,0.0,0.0,20.5,23.1,333.6,1009.2,82.5,11.1,29.1,2.4,2,,2021-01-14T08:27:27,2021-01-14T17:59:31,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,VRKZ7,LTFJ"
2021-01-15,6.3,1.1,3.6,3.9,-4.1,1.1,-0.5,75.7,8.22,100.0,8.33,"rain,snow",0.0,0.0,16.3,22.1,326.6,1013.2,72.2,10.0,48.1,4.1,3,,2021-01-15T08:27:03,2021-01-15T18:00:39,0.07,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-16,5.6,0.4,2.6,2.5,-3.6,-0.4,-0.7,79.7,8.437,100.0,8.33,"rain,snow",0.0,0.0,30.9,18.9,47.9,1011.7,61.6,9.4,42.1,3.8,2,,2021-01-16T08:26:36,2021-01-16T18:01:47,0.1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-17,2.0,-1.8,0.2,-3.2,-7.2,-5.3,-1.9,86.4,15.576,100.0,12.5,"rain,snow",0.0,0.0,61.2,31.7,355.7,1012.6,89.3,7.9,24.1,2.1,1,,2021-01-17T08:26:08,2021-01-17T18:02:57,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
2021-01-18,1.5,-3.9,-1.6,1.5,-9.9,-4.7,-5.3,76.4,2.872,100.0,12.5,"rain,snow",0.0,0.0,15.4,20.3,351.1,1020.7,54.6,10.2,92.8,8.0,4,,2021-01-18T08:25:37,2021-01-18T18:04:07,0.17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
